adobe-source-code-pro-fonts 2.032ro+1.052it+1.012var-1
tinc 1.0.36-1
tldr 1.1.0-2
tmux 3.1_c-1
traceroute 2.1.0-5
transmission-gtk 3.00-2
tree 1.8.0-2
ttf-font-awesome 5.15.1-1
ttf-liberation 2.1.2-1
ttf-sazanami 20040629-11
ttf-ubuntu-font-family 0.83-6
unrar 1:6.0.3-1
unzip 6.0-14
usbutils 013-1
util-linux 2.36.1-4
vi 1:070224-4
vim 8.2.1989-3
vim-latexsuite 1:1.10.0-3
virt-manager 3.2.0-1
virtualbox 6.1.16-4
vlc 3.0.11.1-6
w3m 0.5.3.git20200507-2
wabt 1.0.20-1
wget 1.20.3-3
which 2.21-5
whois 5.5.7-1
wine-gecko 2.47.1-1
wine-staging 5.22-1
wireshark-qt 3.4.2-1
xfce4-terminal 0.8.10-1
xfsprogs 5.8.0-2
xorg-fonts-100dpi 1.0.3-7
xorg-fonts-75dpi 1.0.3-7
xorg-fonts-cyrillic 1.0.3-6
xorg-fonts-misc 1.0.3-10
xorg-fonts-type1 7.7-6
xorg-xdpyinfo 1.3.2-4
xorg-xinit 1.4.1-3
xorg-xkill 1.0.5-2
xorg-xrandr 1.5.1-2
yarn 1.22.10-1
youtube-dl 2021.01.03-1
zeal 1:0.6.1-1
zip 3.0-9
zoom 5.4.53391.1108-1
zsh 5.8-1
zsh-completions 0.32.0-1
